,Unnamed: 0,Unnamed: 0.1,Artist,Genres,Followers,Popularity,Songs,Length
2597,6314,6314,Monica,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop r&b', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']",691169,80,"['Roses - Imanbek Remix', 'Trap (feat. Lil Baby)', 'Monica Lewinsky (feat. A Boogie Wit da Hoodie)', 'BROWN SKIN GIRL', 'Roses', 'Roses Remix (feat. Future)', 'Roses - (Imanbek Remix) [Latino Gang]', 'Tommy Lee (feat. SAINt JHN & Post Malone) - Remix', 'Reflex', 'Sucks To Be You']",10
2598,6315,6315,Monica Huggett,"['baroque violin', 'classical performance', 'historically informed performance', 'violin']",1749719,74,"['Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)', 'The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto', 'The Four Seasons - Summer in G Minor, RV. 315: III. Presto', 'Vivaldi: Violin Concerto in G Minor, RV 315 ""L\'estate"" (No. 2 from ""Il cimento dell\'armonia e dell\'inventione"", Op. 8): III. Presto', 'The Four Seasons - Winter in F Minor, RV. 297: I. Allegro non molto', 'Concerto for Lute, 2 Violins and Continuo in D major, RV 93: 2. Largo (Arr. for Guitar)', 'Concerto For 2 Mandolins, Strings And Continuo In G, RV 532: 3. Allegro', 'Vivaldi: Violin Concerto in E Major, RV 269, No. 1, Spring: I. Allegro', 'Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto', 'Nulla in mundo pax, RV 630: 1. Nulla in mundo pax']",10
2599,6316,6316,Monica Naranjo,"['dance pop', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'spanish pop', 'spanish pop rock']",2569877,74,"['No Querías Lastimarme', 'Con los Ojos Cerrados', 'Resistiré', 'El Recuento de los Daños', 'Ábranse Perras', 'Vestida De Azúcar', 'Grande', 'Más Buena', 'Dr. Psiquiatra', 'Todos Me Miran']",10
2600,6317,6317,Monica Sinclair,['classical contralto'],4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
2602,6330,6330,Mood,"['album rock', 'art rock', 'british invasion', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'psychedelic rock', 'rock', 'soft rock', 'symphonic rock']",5019320,93,"['What You Know Bout Love', 'For The Night (feat. Lil Baby & DaBaby)', 'Hello (feat. A Boogie Wit da Hoodie)', 'Dior', 'Mood Swings (feat. Lil Tjay)', 'AP - Music from the film Boogie', 'The Woo (feat. 50 Cent & Roddy Ricch)', 'Invincible', 'Element', 'Got It On Me']",10
2603,6334,6334,Moon Holiday,['australian electropop'],2154839,76,"['The Difference', 'You & Me - Flume Remix', 'Rushing Back', 'Drop The Game', 'Never Be Like You (feat. Kai)', 'Test & Recognise - Flume Re-work', 'Let You Know', 'Blue - Flume Remix', 'Say It (feat. Tove Lo)', 'Friends']",10
2604,6339,6339,Mora,"['reggaeton', 'reggaeton flow', 'trap latino']",493899,76,"['Relación - Remix', 'UN DIA (ONE DAY) (Feat. Tainy)', 'Una Locura', 'LOCATION', 'LA CANCIÓN', 'Tu Veneno', 'I Like It', 'De Cora <3', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'Azul']",10
2607,6343,6343,Morgan Page,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",126256,60,"['Sweet but Psycho - Morgan Page Dance Remix', 'The Longest Road - deadmau5 Remix Edit', 'Fade Away', 'Gone My Way - KhoMha Remix', 'Fire & Gold', 'Our Song', 'The Longest Road To The Ground', 'Sweet but Psycho - Paul Morrell Remix', 'Fade Away - Stadiumx Remix', 'imaginary friends (ov) - Morgan Page Remix']",10
2609,6353,6353,Moscow Soloists,['string orchestra'],959572,71,"['Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)', 'Variations on a Rococo Theme, Op. 33 for cello and orchestra: Var. VI: Andante', 'Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13 Waltz of the Flowers', 'Album for the Young, Op. 39: No. 3. Mamma (Maman)', 'Six Pieces, Op. 51, TH 143: 6. Valse sentimentale. Tempo di Valse', 'Swan Lake', 'Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse', 'El Lago De Los Cisnes - Op. 20, Acto II: 10. Scene (Moderato)', 'Tchaikovsky: The Nutcracker - Ballet, Op. 71, Act 1: No. 2 March', 'Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 14 Pas de deux']",10
2611,6357,6357,Mother Nature Sound FX,"['environmental', 'sleep', 'sound effects']",2716,60,"['Florida Rain Storm', 'Earthly Breeze Rain', 'Thunderstorm In The Cabin', 'Pouring Rain & Thunder', 'Caribbean Thunderstorm', 'Wave Sounds to Help You Sleep', 'Rain Birds and Trees', 'Corpo e Alma Relaxamento', 'Relaxing Rain', 'Calm']",10
