,artists,genres
30001,Trinere,"['electro', 'freestyle']"
30002,Trini Lopez,"['adult standards', 'brill building pop', 'rock-and-roll']"
30003,Trinidad James,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
30005,Triny La Leyenda,['banda caliente']
30006,Triny y La Leyenda de Tuzantla Mich.,['banda caliente']
30007,Trio Aguilillas,['ethnomusicology']
30009,Trio De Ouro,['velha guarda']
30012,Trio Lescano,"['swing italiano', 'vintage italian pop']"
30013,Trio Lissabet,['trio cubano']
30014,Trio Los Condes,['bolero']
30016,Trio Maravilla,['bomba y plena']
30017,Trio Mocoto,"['afrofuturismo brasileiro', 'brazilian soul', 'samba', 'samba-rock']"
30019,Trio Surdina,['baiao']
30023,Triona Ní Dhomhnaill,['traditional irish singing']
30024,Trip Lee,"['christian hip hop', 'christian trap', 'dfw rap']"
30026,Trippie Redd,"['melodic rap', 'rap', 'trap']"
30027,Tripping Daisy,['alternative rock']
30028,TrippyThaKid,"['dark trap', 'meme rap']"
30032,Trisha Yearwood,"['contemporary country', 'country', 'country dawn', 'country road']"
30033,Trishes,['indian indie']
30034,Tristam,"['brostep', 'chillstep', 'edm', 'electro house', 'gaming edm']"
30035,Tristan,"['acoustic pop', 'lilith', 'neo mellow']"
30038,Tristan Tzara,"['early avant garde', 'screamo', 'skramz']"
30039,Triste Janero,['sunshine pop']
30042,Tritonal,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
30043,Triumph,"['album rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'metal', 'rock', 'soft rock']"
30044,Trivium,"['alternative metal', 'melodic metalcore', 'melodic thrash', 'metal', 'metalcore', 'nu metal']"
30045,Trixter,"['glam metal', 'hard rock', 'sleaze rock']"
30048,Tron,"['corrido', 'duranguense', 'regional mexican']"
30049,Troop,"['boy band', 'funk', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
30050,Troop 41,"['north carolina hip hop', 'pop rap']"
30051,Trooper,"['album rock', 'classic canadian rock', 'romanian rock']"
30053,Tropical Del Bravo,['gruperas inmortales']
30054,Tropical Panamá,"['cumbia lagunera', 'grupera', 'gruperas inmortales']"
30055,Tropicalísimo Apache,"['cumbia lagunera', 'gruperas inmortales']"
30056,Trouble,"['atl hip hop', 'atl trap', 'rap', 'southern hip hop', 'trap']"
30057,Trouser Enthusiasts,['cantaditas']
30058,Troy,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']"
30059,Troy Ave,['trap']
30060,Troy Shondell,['deep adult standards']
30061,Troye Sivan,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']"
30064,True Faith,"['opm', 'pinoy rock', 'pop rock']"
30070,Tsai Chin,"['c-pop', 'chinese audiophile', 'classic mandopop', 'taiwan campus folk', 'vintage chinese pop']"
30071,Tsegue-Maryam Guebrou,['impressionism']
30074,Tsuneo Imahori,['japanese prog']
30077,Tube & Berger,"['dusseldorf electronic', 'german techno', 'groove room', 'tech house', 'tropical house']"
30078,Tubeway Army,"['dance rock', 'early synthpop', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'synthpop', 'uk post-punk', 'zolo']"
30079,Tuck & Patti,['vocal jazz']
30080,Tuck Andress,"['christmas instrumental', 'fingerstyle', 'jazz guitar']"
30082,Tuff Crew,"['electro', 'old school hip hop', 'philly rap']"
30084,Tujamo,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']"
30085,Tuka,"['grupera', 'mexican rock-and-roll']"
30087,Tullio Serafin,"['opera', 'orchestral performance']"
30088,Tullycraft,"['c86', 'seattle indie', 'tape club', 'twee pop']"
30091,Tundra,"['focus beats', 'lo-fi beats']"
30092,Tune Brothers,['funky tech house']
30093,Tuneboy,['classic hardstyle']
30097,Turbonegro,"['glam punk', 'norwegian punk rock', 'norwegian rock', 'punk', ""punk 'n' roll""]"
30099,Ture Sventon,['barnsagor']
30100,Turin Brakes,"['britpop', 'melancholia']"
30101,Turisas,"['folk metal', 'melodic metal', 'metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'viking metal']"
30102,Turk,"['bass trap', 'electronic trap', 'traprun', 'turkish trap']"
30103,Turner,"['contemporary country', 'country', 'country road', 'modern country rock']"
30104,Turnover,"['alternative emo', 'anthem emo']"
30105,Turnpike Troubadours,['red dirt']
30107,Turtle Island String Quartet,"['jazz quartet', 'jazz violin']"
30108,Tushar Dutta,"['hindustani vocal', 'indian classical', 'mantra']"
30112,Tuxedomoon,"['art rock', 'experimental', 'experimental rock', 'industrial', 'industrial rock', 'neue deutsche welle', 'no wave', 'post-punk', 'zolo']"
30115,Twang and Round,"['country rap', 'redneck']"
30116,Tweet,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']"
30118,Twenty 4 Seven,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
30119,Twenty One Pilots,"['modern rock', 'rock']"
30120,Twice As Much,"['british invasion', 'merseybeat']"
30121,Twiddle,"['funk rock', 'jam band']"
30122,Twila Paris,"['christian music', 'christian relaxative', 'classic praise', 'worship']"
30123,Twilight 22,"['electro', 'old school hip hop']"
30125,Twin View,['russian trance']
30127,Twinkle,['sleep']
30128,Twinkle Twinkle Little Rock Star,['sleep']
30129,Twinz,"['houston rap', 'trap']"
30130,Twista,"['chicago rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']"
30131,Twista & The Speedknot Mobstaz,['chicago rap']
30134,Twisted Insane,"['horrorcore', 'san diego rap']"
30135,Twisted Sister,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
30136,Twiztid,"['horrorcore', 'rap rock']"
30138,Two Door Cinema Club,"['alternative dance', 'indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'rock']"
30139,Two Feet,"['indie poptimism', 'modern rock']"
30141,Two Steps from Hell,"['epicore', 'soundtrack', 'video game music']"
30143,Two Year Vacation,"['gothenburg indie', 'swedish indie pop']"
30148,Two's Company Orchestra,['west end']
30150,Ty Dolla $ign,"['pop', 'pop rap', 'r&b', 'trap', 'trap soul']"
30151,Ty Herndon,"['country', 'country road', 'country rock']"
30152,Ty Nitty,['queens hip hop']
30153,Ty Wagner,['protopunk']
30154,Ty$,"['pop', 'pop rap', 'r&b', 'trap', 'trap soul']"
30155,Tycho,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']"
30156,Tycoos,"['progressive trance', 'russian trance', 'uplifting trance']"
30157,Tyga,"['dance pop', 'hip hop', 'pop rap', 'rap', 'trap']"
30158,Tygers Of Pan Tang,"['hard rock', 'metal', 'modern hard rock', 'nwobhm']"
30160,Tyla Yaweh,"['cali rap', 'melodic rap', 'pop rap', 'rap', 'trap']"
30162,Tyler Childers,"['kentucky indie', 'kentucky roots', 'outlaw country']"
30163,Tyler Farr,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
30167,Tyler Wood,"['country pop', 'redneck']"
30168,Tyler Yarema,['christmas instrumental']
30169,"Tyler, The Creator","['hip hop', 'rap']"
30170,Tynisha Keli,"['hip pop', 'pop r&b', 'urban contemporary']"
30171,Type O Negative,"['alternative metal', 'gothic metal', 'hard rock', 'industrial metal', 'industrial rock', 'metal', 'nu metal', 'rock']"
30172,Tyrese,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop r&b', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']"
30174,Tyrone Davis,"['chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
30175,Téléphone,['french rock']
30176,Tír na nÓg,"['british folk', 'psychedelic folk']"
30177,Tõnu Kaljuste,['classical performance']
30178,Tölzer Knabenchor,"[""children's choir"", 'german choir']"
30179,U-God,"['meme rap', 'rap', 'trap', 'underground hip hop', 'vapor trap']"
30180,U-Roy,"['funk', 'jazz funk', 'soul', 'soul jazz']"
30181,U.H.T.,['classic thai pop']
30182,U.K.,"['oi', 'punk', 'uk82']"
30183,U.K. Subs,"['oi', 'punk', 'uk82']"
30185,U.S.A. For Africa,['musical advocacy']
30186,U.S.D.A.,"['atl hip hop', 'dirty south rap', 'gangster rap', 'rap', 'southern hip hop', 'trap']"
30187,U2,"['irish rock', 'permanent wave', 'rock']"
30188,U96,"['bubble trance', 'bubblegum dance', 'eurodance', 'europop', 'german techno', 'hamburg electronic', 'hip house', 'rave']"
30189,UB40,"['reggae', 'reggae fusion', 'uk reggae']"
30191,UFO,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']"
30193,UGK,"['dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'rap', 'southern hip hop', 'trap']"
30195,UMI,"['alternative r&b', 'bedroom soul', 'chill r&b', 'indie r&b', 'pop']"
30196,UNKLE,"['alternative dance', 'big beat', 'electronica', 'trip hop']"
30197,UPSAHL,"['electropop', 'modern indie pop']"
30199,US Air Force Airmen Of Note,"['big band', 'jazz orchestra']"
30200,USSR State Symphony Orchestra,"['orchestra', 'russian orchestra']"
30201,UVERworld,"['anime', 'j-pop', 'j-poprock', 'otacore']"
30202,Ucast,"['belarusian electronic', 'progressive uplifting trance', 'uplifting trance']"
30204,Udi Hrant,"['arab folk', 'oud']"
30205,Udit Narayan,"['chutney', 'classic bollywood', 'desi pop', 'filmi', 'sufi']"
30206,Udo Jürgens,"['classic schlager', 'german pop', 'liedermacher', 'schlager']"
30208,Ugly Casanova,"['indie rock', 'stomp and holler', 'washington indie']"
30209,Ugly Duck,['k-rap']
30210,Ugly Kid Joe,"['funk metal', 'funk rock', 'glam metal', 'hard rock', 'rock']"
30211,Ugo,"['classical piano', 'russian classical piano']"
30212,Ugo Savarese,['italian baritone']
30214,Uhde,['classical bass']
30216,Ulf Lohmann,"['ambient techno', 'cologne electronic', 'microhouse']"
30217,Uli,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
30218,Uli Jon Roth,"['german hard rock', 'neo classical metal']"
30219,Uli K,['glitchcore']
30220,Ulices Chaidez,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
30223,Ulrich Schnauss,"['ambient', 'electronica', 'german electronica', 'indietronica', 'intelligent dance music', 'nu gaze', 'shoegaze']"
30224,Ulster Orchestra,"['british orchestra', 'orchestra']"
30227,Ultimate Spinach,"['classic garage rock', 'freakbeat', 'neo-psychedelic', 'psychedelic rock']"
30229,Ultra Naté,"['deep house', 'disco house', 'diva house', 'garage house', 'hip house', 'tribal house', 'vocal house']"
30230,Ultra Shock,['hard trance']
30231,Ultra Vivid Scene,"['alternative pop', 'c86', 'dream pop', 'shoegaze']"
30232,Ultramagnetic MC's,"['bronx hip hop', 'east coast hip hop', 'electro', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'turntablism']"
30233,Ultravox,"['art rock', 'classic uk pop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']"
30237,Uma Devi,['classic bollywood']
30238,Uma Mohan,"['kirtan', 'mantra']"
30240,Umakant,"['dhrupad', 'hindustani vocal', 'indian classical']"
30242,Umberto Giordano,"['classical', 'italian opera', 'italian romanticism', 'post-romantic era']"
30245,Umeno Tajima accompanied by Eikichi Kazari,['ryukyu ongaku']
30246,Umm Kulthum,"['arab folk', 'belly dance', 'classic arab pop']"
30247,Ummet Ozcan,"['big room', 'deep big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
30248,Umphrey's McGee,['jam band']
30249,Un Solo Pueblo,"['classic venezuelan pop', 'folklore venezolano', 'musica llanera', 'venezuelan rock']"
30250,Unbalance,"['acid techno', 'minimal dub', 'russian techno']"
30252,Uncle Bunt Stephens,['vintage country folk']
30255,Uncle Kracker,"['country', 'country road', 'pop rock']"
30256,Uncle Lucius,"['roots rock', 'texas country']"
30258,Uncle Sam,['classic dubstep']
30259,Uncle Tupelo,"['alternative country', 'alternative rock', 'country rock', 'folk', 'heartland rock', 'indie folk', 'new americana', 'roots rock', 'traditional folk']"
30261,Unclenathannn,"['lo-fi chill', 'sad rap']"
30262,Underoath,"['christian metal', 'christian metalcore', 'melodic metalcore', 'metalcore', 'pop punk', 'post-hardcore', 'screamo', 'tampa indie']"
30263,Underworld,"['alternative dance', 'big beat', 'electronica']"
30265,Unexist,"['gabba', 'happy hardcore', 'hardcore techno', 'industrial hardcore', 'speedcore', 'uptempo hardcore']"
30271,Uniform Choice,"['hardcore', 'hardcore punk', 'straight edge', 'thrash core']"
30273,United Pursuit,"['anthem worship', 'ccm', 'christian pop', 'deep ccm', 'indiecoustica', 'world worship', 'worship']"
30275,Universal Solution,['progressive trance house']
30279,Unk,"['chillwave', 'indie rock', 'indie soul', 'kiwi rock', 'neo-psychedelic', 'new rave', 'portland hip hop', 'psychedelic pop']"
30280,Unknown,"['chillwave', 'indie rock', 'indie soul', 'kiwi rock', 'neo-psychedelic', 'new rave', 'portland hip hop', 'psychedelic pop']"
30282,Unknown Brain,"['bass trap', 'gaming edm', 'traprun']"
30283,Unknown Error,"['darkstep', 'neurofunk']"
30284,Unknown Mortal Orchestra,"['chillwave', 'indie rock', 'indie soul', 'kiwi rock', 'neo-psychedelic', 'new rave', 'portland hip hop', 'psychedelic pop']"
30285,Unknown Orchestra,"['chillwave', 'indie rock', 'indie soul', 'kiwi rock', 'neo-psychedelic', 'new rave', 'portland hip hop', 'psychedelic pop']"
30287,Unlike Pluto,"['bass trap', 'indie poptimism', 'modern alternative rock', 'modern rock']"
30289,Unlimited Touch,"['deep disco', 'disco', 'post-disco', 'post-disco soul']"
30290,Unnikrishnan,"['deep indian pop', 'filmi', 'tamil pop']"
30291,Unresolved,"['hardstyle', 'rawstyle', 'uptempo hardcore', 'xtra raw']"
30293,Unspoken,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
30294,Unwound,"['alternative pop', 'alternative rock', 'dance-punk', 'dream pop', 'drone', 'emo', 'experimental', 'experimental rock', 'freak folk', 'garage psych', 'gbvfi', 'indie punk', 'indie rock', 'lo-fi', 'noise rock', 'nu gaze', 'olympia wa indie', 'post-hardcore', 'post-punk']"
30295,Unwritten Law,"['pop punk', 'punk', 'skate punk']"
30296,Up Dharma Down,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']"
30298,Upbeat Morning Music,['dinner jazz']
30299,Upchurch,"['contemporary country', 'country rap', 'redneck']"
30302,Ural Cossacks Choir,"['russian choir', 'russian folk']"
30304,Urban Knights,['smooth jazz']
30306,Urban Soul,['garage house']
30307,Urbie Green,"['jazz brass', 'jazz trombone']"
30308,Urge Overkill,['alternative pop']
30310,Uriah Heep,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
30312,Us The Duo,"['folk-pop', 'indie cafe pop', 'indiecoustica', 'neo mellow', 'viral pop']"
30313,Us3,"['electronica', 'jazz rap', 'nu jazz']"
30314,Usha,"['classic bollywood', 'filmi', 'ghazal']"
30316,Usha Khanna,"['classic bollywood', 'filmi']"
30317,Usha Mangeshkar,"['classic bollywood', 'filmi', 'ghazal']"
30318,Usher,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
30319,Utada,"['classic j-pop', 'j-pop', 'japanese singer-songwriter']"
30320,Utah Saints,"['big beat', 'hardcore techno', 'hip house']"
30321,Utah Symphony Orchestra,"['american orchestra', 'orchestra']"
30322,Utfo,"['electro', 'hip hop', 'old school hip hop']"
30332,V,"['melodic rap', 'philly rap', 'rap', 'trap']"
30335,V V Brown,"['british soul', 'metropopolis']"
30345,V.I.C.,"['atl hip hop', 'pop rap', 'southern hip hop']"
30353,VASSY,['australian dance']
30357,VIC MENSA,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
30358,VICTORIA,"['alternative r&b', 'chill r&b', 'dance pop', 'indie r&b', 'pop', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
30359,VIP Mass Choir,['gospel']
30364,VaShawn Mitchell,"['gospel', 'praise']"
30365,Vacations,"['indie garage rock', 'newcastle nsw indie']"
30367,Vadim Zhukov,['russian edm']
30368,Vaggelis Konitopoulos,['nisiotika']
30373,Vagon Chicano,"['corrido', 'norteno', 'ranchera', 'regional mexican']"
30375,Vai Mahina,['movie tunes']
30376,Vaibhav,['sandalwood']
30377,Vaidya,"['nepali indie', 'nepali pop']"
30379,Vaios Malliaras,['greek clarinet']
30380,Val Doonican,['classic uk pop']
30382,Val Valentin,"['banda', 'corrido', 'norteno', 'ranchera', 'regional mexican']"
30387,Valen Hsu,"['c-pop', 'classic mandopop', 'mandopop']"
30388,Valencia,"['classic opm', 'opm', 'papuri', 'pinoy praise']"
30391,Valentin Silvestrov,"['avant-garde', 'contemporary classical', 'ukrainian classical', 'ukrainian classical piano']"
30393,Valentina Kamenikova,['czech classical piano']
30394,Valentina Lisitsa,"['classical performance', 'classical piano', 'ukrainian classical piano']"
30395,Valentina Tolkunova,['classic russian pop']
30396,Valentino,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'house', 'moombahton']"
30398,Valentino Fioravanti,['italian opera']
30399,Valentín Elizalde,"['banda', 'corrido', 'norteno', 'ranchera', 'regional mexican']"
30401,Valeria Rossi,['italian adult pop']
30402,Valeria Szervánszky,['hungarian classical piano']
30405,Valery Gergiev,"['classical', 'classical performance', 'orchestral performance']"
30412,Vallis Alps,"['australian indie', 'australian pop', 'electropop', 'vapor soul']"
30415,Vampire Weekend,"['baroque pop', 'indie pop', 'indie rock', 'modern rock', 'rock']"
30417,Van Cliburn,"['american classical piano', 'classical piano']"
30418,Van Der Graaf Generator,"['art rock', 'experimental', 'jazz fusion', 'neo-progressive', 'progressive rock', 'psychedelic rock', 'space rock', 'symphonic rock']"
30420,Van Dyke Parks,"['art pop', 'baroque pop']"
30421,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']"
30423,Van Hunt,"['neo soul', 'urban contemporary']"
30425,Van McCoy,['disco']
30426,Van Morrison,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
30427,Van Shipley,['indian instrumental']
30429,VanVelzen,"['dutch pop', 'dutch rock']"
30430,Vance Joy,"['folk-pop', 'modern rock', 'pop', 'pop rock']"
30431,Vandenberg,"['album rock', 'dutch rock', 'glam metal', 'hard rock', 'metal', 'modern hard rock']"
30434,Vanessa,"['dance pop', 'lilith', 'neo mellow', 'piano rock', 'pop rock']"
30436,Vanessa Bell Armstrong,['gospel']
30438,Vanessa Carlton,"['dance pop', 'lilith', 'neo mellow', 'piano rock', 'pop rock']"
30440,Vanessa Hudgens,"['dance pop', 'post-teen pop', 'viral pop']"
30441,Vanessa Paradis,"['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']"
30442,Vanessa Williams,"['quiet storm', 'urban contemporary']"
30444,Vanessa-Mae,"['bow pop', 'pop violin', 'violin']"
30446,Vangelis,"['cyberpunk', 'new age']"
30447,Vani Jairam,"['classic bollywood', 'filmi']"
30448,Vanilla Fudge,"['acid rock', 'blues rock', 'classic garage rock', 'classic rock', 'psychedelic rock']"
30449,Vanilla Ice,"['hip house', 'miami hip hop']"
30452,Vanita Mishra,['classic bollywood']
30453,Vanity,['synthwave']
30455,Vanligt Folk,['swedish synth']
30458,Vaquero's Musical,['tecnobanda']
30459,Var.,"['bachata', 'bachata dominicana', 'dominican pop', 'latin', 'tropical']"
30461,Vargas de Tecalitlan,"['mariachi', 'ranchera']"
30465,Varnay,['classical soprano']
30470,Vasantrao Deshpande,"['hindustani vocal', 'indian classical', 'marathi traditional']"
30471,Vasco Rossi,"['classic italian pop', 'italian adult pop']"
30472,Vascotia,['progressive uplifting trance']
30473,Vashti,"['anti-folk', 'british folk', 'freak folk', 'new weird america', 'psychedelic folk']"
30474,Vashti Bunyan,"['anti-folk', 'british folk', 'freak folk', 'new weird america', 'psychedelic folk']"
30477,Vasilis Karras,"['greek pop', 'laiko']"
30481,Vasilis Tsitsanis,"['laiko', 'rebetiko']"
30484,Vassar Clements,"['bluegrass', 'bluegrass fiddle', 'jazz violin', 'progressive bluegrass']"
30485,Vassilis Saleas,['greek clarinet']
30486,Vast,"['industrial metal', 'industrial rock']"
30487,Vast Vision,"['dutch trance', 'uplifting trance']"
30488,Vasundhara Das,['filmi']
30496,Vaya Con Dios,['classic belgian pop']
30497,Vayizaku,['deep power-pop punk']
30498,Vayven Del Amor,['gruperas inmortales']
30502,Vedo,['pop r&b']
30503,Veela,['chillstep']
30504,Veena,"['dhrupad', 'hindustani classical', 'hindustani vocal', 'indian classical', 'veena']"
30507,VeggieTales,"['cartoon', ""children's music"", 'christian music']"
30510,Velvet Revolver,"['alternative metal', 'alternative rock', 'hard rock', 'nu metal', 'rock', 'supergroup']"
30512,Vendetta,"['christian rock', 'gymcore', 'metalcore', 'post-screamo', 'wyoming indie']"
30514,Venetian Snares,"['braindance', 'breakcore', 'drill and bass', 'hardcore techno', 'intelligent dance music']"
30515,Venetica,['hard dance']
30516,Vengaboys,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'pop dance']"
30518,Venom,"['black metal', 'black thrash', 'british black metal', 'death metal', 'hard rock', 'metal', 'nwobhm', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
30520,Ventil Shape,['hard minimal techno']
30521,Vera,"['australian indie', 'australian pop']"
30522,Vera Blue,"['australian indie', 'australian pop']"
30523,Vera Hall,['spirituals']
30527,Vera Lynn,"['adult standards', 'lounge']"
30529,Veracocha,"['bubble trance', 'dutch trance', 'trance', 'uplifting trance']"
30530,Verbal Jint,"['k-indie', 'k-rap']"
30532,Verdell Primeaux,"['native american', 'native american spiritual', 'navajo']"
30534,Vern Gosdin,"['bakersfield sound', 'country', 'country rock']"
30536,Verna Felton,"['disney', 'movie tunes']"
30539,Vernon Handley,['orchestral performance']
30542,Veronica Leal,"['latin christian', 'mariachi cristiano']"
30545,Verse Simmonds,"['pop r&b', 'pop rap', 'trap soul']"
30546,Vertical,"['anthem worship', 'ccm', 'christian music', 'world worship', 'worship']"
30547,Vertical Horizon,"['neo mellow', 'pop rock', 'post-grunge']"
30548,Vertical Worship,"['anthem worship', 'ccm', 'christian music', 'world worship', 'worship']"
30549,Veruca Salt,"['alternative pop', 'alternative rock', 'grunge', 'lilith', 'riot grrrl']"
30550,Verzache,['lo-fi beats']
30553,Vesta Williams,"['quiet storm', 'urban contemporary']"
30559,Vic Damone,"['adult standards', 'big band', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
30560,Vic Dickenson,"['jazz brass', 'jazz trombone']"
30567,Vice,"['mariachi', 'ranchera']"
30568,Vice Squad,"['oi', 'uk82']"
30570,Vicente Celestino,['velha guarda']
30571,Vicente Coves,['classical guitar']
30573,Vicente Fernández,"['mariachi', 'ranchera']"
30576,Vicentico,"['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol']"
30577,Vicentico Valdés,"['bolero', 'bolero cubano', 'musica tradicional cubana']"
30578,Vicetone,"['big room', 'edm', 'electro house', 'gaming edm', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']"
30579,Vicious,['cali rap']
30580,Vicious Pink,['synthpop']
30581,Vickeblanka,"['anime', 'anime rock', 'j-pop', 'j-poprock', 'otacore']"
30584,Vicki Shepard,['euro hi-nrg']
30585,Vicki Sue Robinson,['disco']
30586,Vicki Yohe,['gospel']
30587,Vickie Winans,['gospel']
30592,Vico C,"['latin', 'latin hip hop', 'rap conciencia', 'reggaeton', 'tropical']"
30593,Victor,"['alternative r&b', 'chill r&b', 'dance pop', 'indie r&b', 'pop', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
30597,Victor Borge,['comic']
30604,Victor Herbert,"['american romanticism', 'irish classical', 'operetta', 'post-romantic era']"
30605,Victor Internet,['bedroom pop']
30606,Victor Jara,"['cantautor', 'chilean indie', 'musica andina', 'nueva cancion', 'trova']"
30607,Victor Lane,['uk pop punk']
30611,Victor Silvester and his Ballroom Orchestra,['ballroom']
30613,Victor Sweler,['movie tunes']
30616,"Victor Yturbe ""El Piruli""","['bolero', 'bolero mexicano', 'ranchera']"
30618,Victor de Sabata,['historic orchestral performance']
30619,Victoria Justice,['post-teen pop']
30621,Victoria Monét,"['alternative r&b', 'chill r&b', 'dance pop', 'indie r&b', 'pop', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
30622,Victoria de los Ángeles,"['classical soprano', 'opera']"
30624,Victorious Cast,"['dance pop', 'post-teen pop', 'social media pop', 'viral pop']"
30626,Victrola,"['italian new wave', 'minimal wave']"
30628,Vida Blue,['jam band']
30629,Videoclub,"['french indie pop', 'french synthpop']"
30632,VidyA,"['desi pop', 'tamil pop']"
30634,Vienna Boys' Choir,"['austrian choir', ""children's choir"", 'choral']"
30635,Vienna Chamber Orchestra,"['austrian orchestra', 'chamber orchestra']"
30636,Vienna State Opera Chorus,"['austrian choir', 'classical performance', 'opera', 'opera chorus']"
30637,Vienna State Opera Orchestra,"['austrian orchestra', 'classical performance']"
30638,Vienna Teng,"['ectofolk', 'lilith', 'melancholia', 'piano rock']"
30639,Vienna Volksoper Orchestra,['austrian orchestra']
30640,Viento Y Sol,"['cumbia sonidera', 'grupera', 'gruperas inmortales']"
30641,Vigel,"['deep big room', 'russian trance', 'sky room']"
30642,Vijay,"['deep indian pop', 'filmi']"
30644,Vijaya,"['mollywood', 'tamil pop']"
30646,Vika & Linda,['australian rock']
30647,Vika Jigulina,['moldovan pop']
30648,Vikings in Tibet,['dutch indie rock']
30649,Vikki Carr,['adult standards']
30652,Viktor Vaughn,"['alternative hip hop', 'hardcore hip hop', 'hip hop']"
30653,Viktors Lapčenoks,"['classic latvian pop', 'latvian pop']"
30654,Village People,"['disco', 'europop']"
30655,Villagers,"['chamber pop', 'indie folk', 'indie rock', 'stomp and holler']"
30656,Villain,"['cali rap', 'jazz rap']"
30657,Vilma Palma e Vampiros,"['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol']"
30659,Vim Cortez,['bboy']
30662,Vimana,"['deep progressive trance', 'dutch trance']"
30667,Vinayakrao Patwardhan,"['hindustani vocal', 'indian classical']"
30669,Vince Gill,"['country', 'country rock', 'oklahoma country']"
30670,Vince Guaraldi,"['adult standards', 'christmas instrumental', 'jazz trio']"
30671,Vince Guaraldi Trio,"['adult standards', 'christmas instrumental', 'jazz trio']"
30672,Vince M,"['indie anthem-folk', 'indie folk', 'irish singer-songwriter', 'neo mellow']"
30673,Vince Neil,"['alternative country', 'new americana', 'roots americana']"
30675,Vince Staples,"['conscious hip hop', 'escape room', 'hip hop', 'rap', 'underground hip hop']"
30676,Vince Vance & The Valiants,['novelty']
30677,Vincent Blue,['korean pop']
30680,Vincent Herring,"['contemporary post-bop', 'hard bop', 'jazz saxophone']"
30682,Vincent d'Indy,"['french romanticism', 'impressionism', 'late romantic era']"
30683,Vincent de Moor,"['bubble trance', 'dutch trance', 'trance', 'uplifting trance']"
30685,Vincenzo Bellini,"['classical', 'early romantic era', 'italian opera', 'italian romanticism']"
30686,Vincenzo Capirola,"['italian renaissance', 'renaissance']"
30688,Vincenzo Martinelli,['rumba']
30689,Vini Vici,['progressive uplifting trance']
