,artists,genres
411,Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']"
414,Acerina Y Su Danzonera,"['mexican rock-and-roll', 'ranchera']"
415,Aceyalone,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']"
416,Achille Togliani,"['canzone napoletana', 'classic italian pop', 'vintage italian pop']"
418,Acid Bath,"['doom metal', 'louisiana metal', 'sludge metal', 'stoner metal']"
419,Acid King,"['doom metal', 'gaian doom', 'psychedelic doom', 'retro metal', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']"
422,Acker Bilk,"['adult standards', 'ballroom', 'brill building pop', 'easy listening', 'jazz clarinet', 'lounge']"
423,Acoustic Alchemy,"['british jazz', 'smooth jazz']"
425,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
427,Active Sight,['uplifting trance']
429,Ad Brown,['progressive trance house']
431,Ada,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
432,Ada Falcón,"['tango', 'tango cancion', 'vintage tango']"
433,Adalberto Santiago,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']"
434,Adam & The Ants,"['dance rock', 'double drumming', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'ska']"
435,Adam Ant,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']"
436,Adam Calhoun,"['country rap', 'military rap', 'redneck']"
438,Adam Doleac,"['contemporary country', 'country pop']"
439,Adam Ellis,"['progressive uplifting trance', 'uplifting trance']"
441,Adam Foley,['progressive uplifting trance']
444,Adam Gussow,['harmonica blues']
445,Adam Hicks,"['pop', 'post-teen pop']"
447,Adam Jensen,"['indie poptimism', 'modern alternative rock', 'modern rock', 'rebel blues']"
448,Adam Johnson,['british classical piano']
449,Adam K,['canadian electronic']
450,Adam K & Soha,['canadian electronic']
452,Adam Lambert,"['dance pop', 'electropop', 'idol', 'pop', 'post-teen pop']"
453,Adam Levine,['pop rock']
454,Adam Mansell,['polish techno']
456,Adam Nickey,"['progressive house', 'trance', 'uplifting trance']"
457,Adam Pascal,"['broadway', 'hollywood', 'show tunes']"
458,Adam Port,['deep disco house']
459,Adam Sandler,"['comedy', 'comic']"
460,Adam Szabo,['progressive uplifting trance']
463,Adamski,"['acid house', 'hardcore techno', 'hip house']"
464,Adan Chalino Sanchez,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']"
465,Adan Romero,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']"
466,Adara,['indie electropop']
469,Adelaide Van Wey,['american folk revival']
470,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']"
473,Adelitas Way,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']"
474,Adema,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
477,Adiemus,['new age']
478,Adina Butar,['vocal trance']
479,Adina Howard,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
484,Adolescent's Orquesta,"['latin', 'salsa', 'salsa venezolana', 'tropical']"
485,Adolescents,"['latin', 'salsa', 'salsa venezolana', 'tropical']"
487,Adolf Dallapozza,['classical tenor']
489,Adolfo Berón,['guitarra argentina']
493,Adolph Deutsch,['classic soundtrack']
495,Adolphe Adam,"['early romantic era', 'french opera', 'french romanticism']"
497,Adrenalize,"['classic hardstyle', 'euphoric hardstyle', 'hardstyle', 'rawstyle']"
501,Adrian Gurvitz,['yacht rock']
503,Adrian Marcel,['pop r&b']
506,Adriana Caselotti,['movie tunes']
508,Adriana Lazzarini,['italian mezzo-soprano']
509,Adriana Proenza,['spanish indie pop']
511,Adrianne Pieczonka,['classical soprano']
512,Adriano Banchieri,"['early music', 'madrigal', 'renaissance']"
513,Adriano Celentano,"['classic italian pop', 'italian adult pop']"
514,Adrienne Albert,['american contemporary classical']
517,Adrián Patiño,['latin classical']
518,Adventum,['xtra raw']
519,Adventure Club,"['brostep', 'canadian electronic', 'chillstep', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']"
520,Adventure Time,['indie pop']
521,Ae Jirakorn,['thai pop']
522,Aeden,"['dutch edm', 'gaming edm', 'pop edm']"
523,Aegis,"['classic opm', 'opm']"
524,Aer,"['album rock', 'classic rock', 'hard rock', 'rock']"
525,Aero Chord,"['bass trap', 'edm', 'gaming edm', 'traprun']"
526,Aerodroemme,['deep techno']
527,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']"
530,Aesop Rock,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'hip hop']"
531,Aether,"['chillstep', 'future bass', 'vapor twitch', 'wave']"
537,Afrika Bambaataa,"['bronx hip hop', 'east coast hip hop', 'electro', 'hip hop', 'hip house', 'old school hip hop']"
538,Afro-Cuban All Stars,"['latin jazz', 'musica tradicional cubana']"
540,Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']"
541,Afroman,"['comedy rap', 'gangster rap', 'hip hop', 'rap']"
542,Afrosound,"['chicha', 'cumbia', 'nu-cumbia']"
543,Afsal,"['deep indian pop', 'filmi', 'mollywood']"
544,After 7,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
545,After The Burial,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'minneapolis metal', 'progressive metalcore']"
546,After The Fire,['new wave']
551,Afu-Ra,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'turntablism']"
554,Against Me!,"['folk punk', 'gainesville indie', 'orgcore', 'punk', 'skate punk']"
555,Against The Current,"['neon pop punk', 'pixie', 'pop punk', 'viral pop']"
556,Against The Grain,['action rock']
561,Agent Orange,"['hardcore punk', 'punk', 'skate punk', 'surf punk']"
562,Agent Side Grinder,"['dark post-punk', 'ebm', 'grave wave', 'minimal wave', 'swedish synth']"
563,Agent Steel,"['melodic thrash', 'metal', 'neo-trad metal', 'nwothm', 'old school thrash', 'speed metal', 'thrash metal', 'us power metal']"
566,Agnelli & Nelson,"['bubble trance', 'hard house']"
567,Agnes Baltsa,"['classical mezzo-soprano', 'classical performance', 'opera']"
568,Agnes Giebel,['classical soprano']
569,Agnes Moorehead,['drama']
570,Agnes Obel,['chamber pop']
572,Agnetha Fältskog,"['classic swedish pop', 'europop', 'new wave pop']"
573,Agnostic Front,"['chicano punk', 'crossover thrash', 'hardcore', 'hardcore punk', 'nyhc', 'oi', 'old school thrash', 'punk', 'straight edge']"
574,Ago,"['electronica', 'microhouse', 'minimal techno', 'new french touch', 'organic house', 'tech house']"
575,Agonoize,"['aggrotech', 'dark electro', 'ebm', 'electro-industrial']"
577,Aguaturbia,['chilean rock']
579,Agust D,['k-rap']
581,Agustín Barrios Mangoré,"['classical guitar', 'guitarra clasica', 'latin classical', 'polca paraguaya']"
582,Agustín Irusta,['vintage tango']
583,Agustín Lara,"['bolero', 'bolero mexicano']"
585,Ahlam,['arab pop']
586,Ahmad Jamal,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'soul jazz', 'stride', 'vocal jazz']"
588,Ahmad Jamal Trio,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz trio', 'soul jazz', 'stride']"
591,Ahmad Zahir,"['afghan pop', 'afghan traditional']"
593,Ahmed Helmy,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
595,Ahmed Romel,"['progressive trance', 'progressive uplifting trance', 'uplifting trance']"
597,Ahmet Kaya,['turkish folk']
599,Ai Nam,['thai folk rock']
601,Aida Cuevas,"['bolero', 'mariachi', 'ranchera']"
602,Aidan O'Rourke,"['scottish fiddle', 'scottish folk']"
604,Aiko,"['alternative r&b', 'dance pop', 'pop', 'r&b', 'urban contemporary']"
605,Aim,"['chillhop', 'lo-fi beats']"
607,Aimee Mann,"['folk', 'lilith', 'new wave pop', 'permanent wave', 'pop rock']"
608,Aimee',"['folk', 'lilith', 'new wave pop', 'permanent wave', 'pop rock']"
609,Aimoon,"['progressive trance', 'progressive uplifting trance', 'russian trance', 'uplifting trance']"
610,Aine Minogue,"['celtic', 'new age', 'string folk']"
612,Air,"['pop punk', 'pop rock', 'socal pop punk']"
613,Air Supply,"['adult standards', 'mellow gold', 'soft rock']"
614,Air Traffic Controller,"['folk-pop', 'hopebeat', 'indie poptimism', 'indiecoustica', 'shimmer pop', 'shiver pop', 'stomp and holler']"
615,Airbase,"['progressive house', 'trance', 'uplifting trance']"
616,Airborn,"['indie pop', 'indie rock', 'la indie', 'metropopolis', 'modern alternative rock', 'modern rock', 'stomp and holler']"
617,Airbourne,"['glam metal', 'hard rock', 'metal', 'rock', 'wrestling']"
618,Airplay,"['deep soft rock', 'yacht rock']"
621,Airwave,"['pop punk', 'pop rock', 'socal pop punk']"
622,Airwolf,['australian house']
624,Aitor Ronda,['re:techno']
627,Ajda Pekkan,"['turkish jazz', 'turkish pop', 'turkish psych']"
630,Aka Odko,"['mongolian hip hop', 'mongolian pop']"
631,AkaPella,"['trap venezolano', 'venezuelan hip hop']"
632,Akademie für Alte Musik Berlin,"['barockinterpreten', 'baroque ensemble', 'choral', 'classical performance', 'historically informed performance']"
633,Akala,"['conscious hip hop', 'grime', 'political hip hop']"
635,Akano,['otacore']
636,Akesson,['uplifting trance']
638,Akin,"['country', 'country road', 'country rock', 'modern country rock']"
639,Akina Nakamori,"['j-pop', 'japanese new wave', 'kayokyoku', 'techno kayo']"
640,Akinyele,"['east coast hip hop', 'hardcore hip hop', 'queens hip hop']"
641,Akira Ishikawa,['classic japanese jazz']
642,Akitoshi Igarashi,['japanese jazz']
644,Akon,['dance pop']
