,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,songs,followers,Popularity Score,Artist ID,Image URL
6418,6418,Gladys Knight & The Pips,0.3842744680851065,0.5765957446808507,228602.2978723404,0.5151276595744682,0.0250870244680851,0.2410553191489362,-11.184510638297873,0.0451617021276595,116.10127659574472,0.6479574468085104,32.787234042553195,1,1,94,"['brill building pop', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']","['Midnight Train to Georgia', 'Neither One Of Us (Wants To Be The First To Say Goodbye)', 'Best Thing That Ever Happened to Me', 'I Heard It Through The Grapevine', 'Love Overboard', 'Midnight Train to Georgia - Short Version', 'If I Were Your Woman - Single Version', 'Taste of Bitter Love', 'Who Is She (And What Is She To You)', 'No One Could Love You More']",799300,64,0TF2NxkJZPQoX1H53rEFM1,https://i.scdn.co/image/17992d522bd50efb63c2a353d2baf7d6957fb6ca
15242,15242,Sono,0.102457,0.7330000000000001,218882.375,0.7773749999999999,0.073845,0.2057375,-6.797374999999999,0.0417875,121.137125,0.5448750000000001,5.75,4,1,16,"['cumbia', 'ranchera', 'salsa colombiana']","['Mil Horas', 'Que Nadie Sepa Mi Sufrir', 'Mil Horas', 'Mi Cucu', 'Se Me Perdio la Cadenita', 'Qué Bello', 'El Viejo del Sombrerón', 'El Viejo Del Sombrerón', 'Escándalo', 'Oye']",317882,69,13or1Wf6ipcvSIiurZATvw,https://i.scdn.co/image/d8b05c9b7540983c7eead6edf4d1da25ed0ddc84
2577,2577,Calloway,0.0352,0.733,304200.0,0.7809999999999999,0.00793,0.147,-10.265,0.0857,114.181,0.8690000000000001,31.0,0,1,2,"['big band', 'harlem renaissance', 'jazz blues', 'swing']","['Minnie the Moocher (Theme Song)', 'Everybody Eats When They Come To My House', 'St. James Infirmary', 'Reefer Man', 'Jumpin Jive', 'The Ghost Of Smokey Joe', 'Hi De Ho Man', ""The Jumpin' Jive"", 'Between The Devil And The Deep Blue Sea', 'Hey Now, Hey Now']",102053,47,03cwCzIWQ8BRmXjGPDAL04,https://i.scdn.co/image/93dfd87fdbbd41e7582555b4774280c8a6bc7720
13385,13385,Quintette du Hot Club de France,0.8845238095238096,0.6957936507936506,176742.4126984127,0.3128761904761906,0.6008424761904763,0.1593428571428571,-14.781968253968255,0.1429539682539683,133.73409523809528,0.749126984126984,19.761904761904766,7,1,63,['gypsy jazz'],"['Minor Swing', 'Sweet Georgia Brown', 'Billets Doux', 'Coucou', ""After You're Gone"", 'St. Louis Blues', 'Chasing Shadows', 'Oriental Shuffle', 'Limehouse Blues', 'Manoir de mes rêves']",11260,52,6ufQwLbg8fB1I6aRQb3aUn,https://i.scdn.co/image/ab67616d0000b27337590c99de88581fe325e614
5381,5381,Everything But The Girl,0.5082254285714286,0.5813428571428569,232164.65714285715,0.4212685714285713,0.0262675931428571,0.0899314285714285,-12.277314285714288,0.0357657142857142,120.40974285714287,0.4197714285714286,40.17142857142857,11,1,35,"['dance rock', 'electronica', 'lilith', 'new wave pop', 'pop rock', 'sophisti-pop', 'trip hop']","['Missing - 2013 Remaster', 'Missing - Todd Terry Remix / Radio Edit', 'Missing - Todd Terry Club Mix / US Radio Edit', 'Night and Day - Single Version', ""I Don't Want to Talk About It - 2012 Remaster"", 'Wrong - 2015 Remaster', 'Missing - Todd Terry Club Mix', 'Tracey in My Room - Lazy Dog Bootleg Vocal Mix', 'The Only Living Boy in New York - 2013 Remaster', 'Each and Every One - 2012 Remaster']",225983,62,13ccXrK7AmXb4TddMkE7jy,https://i.scdn.co/image/3d9e63e0f70419266afb29de50e9ac28b8e1615f
5301,5301,Erroll Garner,0.9114343434343428,0.4977676767676773,241345.7070707071,0.3480373737373737,0.8112054545454535,0.4440828282828282,-15.651090909090906,0.0757848484848485,114.16740404040408,0.3800626262626266,10.626262626262626,5,1,198,"['adult standards', 'bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'swing', 'vocal jazz']","['Misty - Remastered 2020', 'Sunny', 'Misty', ""I'm In The Mood For Love"", 'Misty', 'Lovely to Look At - Remastered 2020', 'Wild Music', 'Everything Happens To Me', 'High Wire', 'Lullaby of Birdland']",67377,53,6C65D20ASusYqHGSIktfED,https://i.scdn.co/image/60e5af83030d3b4bd45ddc624f5c7532b76387d6
8743,8743,Kai,0.330135,0.5925,283990.5,0.6475000000000001,0.3745000000000001,0.28,-6.9110000000000005,0.07585,146.94299999999996,0.2577,16.5,7,0,4,['k-pop'],"['Mmmh', 'Reason', 'Amnesia', 'Nothing On Me', 'Hello Stranger', 'Ride Or Die']",377785,66,6iVo62B0bdTknRcrktCmak,https://i.scdn.co/image/52116d927c22e2566b9e4ed547a4dcee58f296b9
18812,18812,kai,0.4529999999999999,0.444,234910.0,0.557,0.0,0.152,-5.476,0.0602,115.058,0.296,67.0,0,1,2,['k-pop'],"['Mmmh', 'Reason', 'Amnesia', 'Nothing On Me', 'Hello Stranger', 'Ride Or Die']",377785,66,6iVo62B0bdTknRcrktCmak,https://i.scdn.co/image/52116d927c22e2566b9e4ed547a4dcee58f296b9
11449,11449,Mindless Self Indulgence,0.0242268571428571,0.6382142857142857,166855.07142857142,0.8250714285714286,0.0131533314285714,0.2249214285714284,-5.594357142857142,0.1145214285714286,137.22778571428574,0.6638571428571428,55.5,11,0,28,"['dance-punk', 'modern rock']","['Molly', 'Faggot', 'What Do They Know?', 'Never Wanted To Dance', 'Shut Me Up', 'Bitches', 'Lights Out', 'Prescription', 'Witness', 'Get It Up']",509623,69,5R5MLOQbI4lb7GHYioPqoN,https://i.scdn.co/image/786910afed9a2c3589d522a062c64fb4197d55ca
2479,2479,Böhme,0.9653076923076924,0.2324615384615385,220451.3076923077,0.1559846153846154,0.1311134615384615,0.5058461538461538,-23.24561538461539,0.0639384615384615,96.33823076923076,0.141,0.0,2,0,13,['progressive house'],"['Moments - Ben Böhmer & Nils Hoffmann Remix', 'Breathing', 'Father Ocean - Ben Böhmer Remix Edit', 'Run Away', 'Cappadocia', 'Weightless', 'The Space In Between - Ben Böhmer Remix', 'Weightless - DJ Seinfeld Remix', 'Second Sun', 'Red Dressed - Ben Böhmer Remix - Short Version']",160353,66,5tDjiBYUsTqzd0RkTZxK7u,https://i.scdn.co/image/e1356f39ef579807e9a62bcb201f3c3aecb33462
