,artists,genres,followers,Artist ID,Popularity Score,Image URL
68,Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']",469851,5ksRONqssB7BR161NTtJAm,67,https://i.scdn.co/image/df9a1dd7f15d98cdbef3ee8c44adae7dec4142d6
69,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']",626324,7BMccF0hQFBpP6417k1OtQ,66,https://i.scdn.co/image/6cb50ec40581d7cc79fa4763c7f475a966c3ad97
70,Adam Calhoun,"['country rap', 'military rap', 'redneck']",242773,4fZ8AuVP6Y8mLmCoybfKpC,65,https://i.scdn.co/image/123817037a267b393f5175fbaf4e2eea6d58f43b
71,Adam Doleac,"['contemporary country', 'country pop']",26802,4NsVVzuaZGk4aya8Pyacew,61,https://i.scdn.co/image/c9dbd07cd8ba345af15d0f3bcfb267aa2141323d
72,Adam Jensen,"['indie poptimism', 'modern alternative rock', 'modern rock', 'rebel blues']",110316,7ymrIsmp4vE7vAtcS12J4D,61,https://i.scdn.co/image/22e7c219724566c3a7834e5931ffcb77cd6eb10a
73,Adam Lambert,"['dance pop', 'electropop', 'idol', 'pop', 'post-teen pop']",1187926,6prmLEyn4LfHlD9NnXWlf7,67,https://i.scdn.co/image/e2ece2ed9ca31b00d5cdf67fa0a9bb8e264c5456
74,Adam Levine,['pop rock'],870472,4bYPcJP5jwMhSivRcqie2n,78,https://i.scdn.co/image/80659ab86c2a4c05f7c38f0aab582d8d8a2e80fa
75,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",26758344,4dpARuHxo51G3z768sgnrY,85,https://i.scdn.co/image/ccbe7b4fef679f821988c78dbd4734471834e3d9
76,Adelitas Way,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']",269386,1ZjAT2nTrzDIXFfsQ2hWJk,60,https://i.scdn.co/image/04fa9a90e17c59745653eeacaa9873ba148aa86b
77,Adolescents,"['latin', 'salsa', 'salsa venezolana', 'tropical']",355264,70nxnxEqDQIEWneRjg2Q4O,68,https://i.scdn.co/image/8448edc12f63aaf8d2abca26d590a0dcd0fa785c
78,Adriana Proenza,['spanish indie pop'],15599,7KHA7OOevgTDFhlym0oEyP,68,https://i.scdn.co/image/eb4dd28b4a0ac22a265574b278d8f721ccda4c9e
79,Adriano Celentano,"['classic italian pop', 'italian adult pop']",507318,1yq9UuPp5DIb5w6eswGbKV,62,https://i.scdn.co/image/ab67616d0000b27349b9d63acc47f2cc808681bf
80,Adventure Time,['indie pop'],218302,3Op7D6tFVJCOHW6EAV0ck1,67,https://i.scdn.co/image/3a64320ae0789aef764aba3bc841638a9befcb00
81,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",10079991,7Ey4PD4MYsKc5I2dolUwbH,80,https://i.scdn.co/image/a70e0a22056cf078a7d76f5602e59d969ee9f530
82,Aesop Rock,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'hip hop']",339387,2fSaE6BXtQy0x7R7v9IOmZ,62,https://i.scdn.co/image/bd9387cf26bc30952d6394fa0b08eef76e698bf2
83,Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",3628074,4D75GcNG95ebPtNvoNVXhz,79,https://i.scdn.co/image/903c3b850a41b7b8bfaa47625ea1d6477875f984
84,Afroman,"['comedy rap', 'gangster rap', 'hip hop', 'rap']",301187,4Icvbp9RDt5aY2TWDOVDsr,65,https://i.scdn.co/image/cf81fceb4fcc48c7319f75f290df9a6ace896c7c
85,Against The Current,"['neon pop punk', 'pixie', 'pop punk', 'viral pop']",363612,6yhD1KjhLxIETFF7vIRf8B,71,https://i.scdn.co/image/d8bbf81c2df4a4fb91199f5150a4612103f1bd0a
86,Agnes Obel,['chamber pop'],643196,1rKrEdI6GKirxWHxIUPYms,65,https://i.scdn.co/image/e618f44dfc5cab5fc37b38b54649a2d14737ab44
87,Agust D,['k-rap'],4472732,5RmQ8k4l3HZ8JoPb4mNsML,72,https://i.scdn.co/image/820416216c8fb6c3dd265ab9908f46e63ee00158
88,Ahmet Kaya,['turkish folk'],3340685,1Y2FwScblyMxpLTrNdfwyU,68,https://i.scdn.co/image/ab6761610000e5eb882bd272c49f600c6569081c
89,Aim,"['chillhop', 'lo-fi beats']",1414944,0bAsR2unSRpn6BQPEnNlZm,70,https://i.scdn.co/image/ab6761610000e5eb592c5e47b9ccecb477386468
90,Air Supply,"['adult standards', 'mellow gold', 'soft rock']",2375025,4xXCRXOfQKQ2gjWxNhNzYW,72,https://i.scdn.co/image/74ac3cb15df0aa8c2cdf1c78b06c40eafae205ba
91,Airbourne,"['glam metal', 'hard rock', 'metal', 'rock', 'wrestling']",519044,6urzdpGY5yUimWZsgJUoTb,61,https://i.scdn.co/image/a8a03e10486b17565d5a9865e1cfdce37ddd3232
92,Ajda Pekkan,"['turkish jazz', 'turkish pop', 'turkish psych']",409146,27XMnTLvCO7t3qGlQyTMkF,61,https://i.scdn.co/image/ab67616d0000b27358f56b0881afac1122cbe6d6
93,AkaPella,"['trap venezolano', 'venezuelan hip hop']",339991,6fMZytDgX1Q9OV6ndSugym,64,https://i.scdn.co/image/825b525d0cbe3fde83a5caba20de08a32740cd02
94,Akano,['otacore'],54909,7i3eGEz3HNFnPOCdc7mqoq,67,https://i.scdn.co/image/a45788c7673f923217bd4c2188281da94b688e90
95,Akon,['dance pop'],2701496,0z4gvV4rjIZ9wHck67ucSV,84,https://i.scdn.co/image/20745ad5adc438c4aec164ca3cc2e04ed3abcb99
96,Akwid,"['chicano rap', 'latin hip hop', 'mexican hip hop']",725967,3mYFuz6iY7D9X78rOXg5CG,62,https://i.scdn.co/image/ab6761610000e5eb931f1692e17c4b8a9789c117
97,Al Green,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']",1449500,3dkbV4qihUeMsqN4vBGg93,70,https://i.scdn.co/image/3204125720ef02294bbac0ff109a5919c141955f
98,Alabama,"['country', 'country road', 'country rock']",836065,6rJqqRce0Kvo2dJUXoHleC,68,https://i.scdn.co/image/e62bc7c5b919ceb8145d0c73e8d04c7b8b066f73
99,Alabama Shakes,"['alabama indie', 'indie rock', 'modern blues rock', 'rock']",1439411,16GcWuvvybAoaHr0NqT8Eh,65,https://i.scdn.co/image/cf307b565c69fe3861b88e1cc2178a47b1db0431
100,Alacranes Musical,"['corrido', 'duranguense', 'regional mexican']",463157,2aZtzjAzD8fq3OhZ9egqda,63,https://i.scdn.co/image/636b377fd5408eb0dd7e39e0d103d330c139b0b5
101,Alan Jackson,"['contemporary country', 'country', 'country road']",1515343,4mxWe1mtYIYfP040G38yvS,76,https://i.scdn.co/image/43fdc2605725f488299398758ffb2c46e6ee7d38
102,Alan Menken,"['broadway', 'disney', 'hollywood', 'movie tunes', 'show tunes']",86093,5sy77gt4bfsLcSQ8GIe4ZZ,64,https://i.scdn.co/image/aaf98f449a8c8716b1dc68a782e8eb3ed8651515
103,Alan Silvestri,['soundtrack'],222492,0Xk15jHKly4c3AhPr5vjoA,66,https://i.scdn.co/image/99a6958df8dfe17c85eff3ac7d2aed2a87413f72
104,Alan Walker,['electro house'],28026432,7vk5e3vY1uw9plTHJAMwjN,85,https://i.scdn.co/image/0ab918e81e59378d6f7368a10f392be54020472d
105,Alas,"['compositional ambient', 'focus']",20799,5GHBk4xcO1UqlbyrUXv5dq,60,https://i.scdn.co/image/aa0daa8c1711626ac11af5d945cf71b703315c77
106,Albert,"['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']",280849,6tuPdaFPIytg3l2f51L7Hw,68,https://i.scdn.co/image/c70c8d4982952ee2d3ef8569221e12b79fb20a70
107,Alberto Vazquez,"['bolero', 'mexican rock-and-roll', 'pop romantico', 'ranchera']",107550,3vYC7LFneIpmJRSgrYy6dc,61,https://i.scdn.co/image/0d3bb7a78bdeedc57288d743cf76ca2cacc83ac8
108,Alborosie,"['modern reggae', 'reggae', 'roots reggae']",541726,78u1jLVBjPSXQVmHBV43yG,62,https://i.scdn.co/image/5760aa10f20fb4c52d10c0268fc2a1e5fe7be47c
109,Alceu Valença,"['manguebeat', 'mpb', 'nova musica pernambucana']",867937,559vxOLTzlAv0zB77JMcdG,66,https://i.scdn.co/image/ea0aa9c8cb4042e4cf319181d963aa028f05ac26
110,Aldo Trujillo,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",494999,0l6WgSoqo4UqeuXFKnTQRu,68,https://i.scdn.co/image/9c486895ab118a3903669ea547c9e3e1fff4d8b3
111,Alec Benjamin,"['electropop', 'pop']",2586135,5IH6FPUwQTxPSXurCrcIov,80,https://i.scdn.co/image/3456c9584254a3269549795b0bd63e841a86e974
112,Alejandra Guzman,"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'ranchera', 'rock en espanol']",2279788,7Hf9AwMO37bSdxHb0FBGmO,71,https://i.scdn.co/image/a50fc51b90f909f9aa2d76c121da1cb045377119
113,Alejandro Fernández,"['latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'ranchera', 'regional mexican']",4078032,6sq1yF0OZEWA4xoXVKW1L9,81,https://i.scdn.co/image/6da0cacb2394f332e3e5f8fc10b166623a6c35c6
114,Alejandro Sanz,"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']",5034748,5sUrlPAHlS9NEirDB8SEbF,79,https://i.scdn.co/image/ab6761610000e5eba5bc239e6043971e16eddee1
115,Aleks Syntek,"['latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol']",963897,0r8toju2ecKaVtItkzAnNi,68,https://i.scdn.co/image/5cb6fbf7be09a53a81402d29c46e820e6af8377e
116,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",8717631,2wUjUUtkb5lvLKcGKsKqsR,81,https://i.scdn.co/image/47b8d298c456655a0997c9b1cb33dbd258c8e702
