,Artist,Genres,Followers,Popularity
276,Adan Chalino Sanchez,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']",353539,52
277,Adan Romero,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']",425370,57
278,Adara,['indie electropop'],113671,58
280,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",26675137,85
281,Adelitas Way,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']",268676,60
282,Adema,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",135776,75
283,Adiemus,['new age'],46331,61
285,Adina Howard,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",259168,51
286,Adolescent's Orquesta,"['latin', 'salsa', 'salsa venezolana', 'tropical']",353450,68
287,Adolescents,"['latin', 'salsa', 'salsa venezolana', 'tropical']",2534724,72
288,Adolf Dallapozza,['classical tenor'],474272,58
292,Adrenalize,"['classic hardstyle', 'euphoric hardstyle', 'hardstyle', 'rawstyle']",977345,67
296,Adriana Lazzarini,['italian mezzo-soprano'],613762,67
297,Adriana Proenza,['spanish indie pop'],620086,77
298,Adrianne Pieczonka,['classical soprano'],4008949,79
300,Adriano Celentano,"['classic italian pop', 'italian adult pop']",505021,62
303,Adventum,['xtra raw'],1740806,82
304,Adventure Club,"['brostep', 'canadian electronic', 'chillstep', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']",267835,58
305,Adventure Time,['indie pop'],215758,67
307,Aeden,"['dutch edm', 'gaming edm', 'pop edm']",1285,55
308,Aegis,"['classic opm', 'opm']",471122,56
309,Aer,"['album rock', 'classic rock', 'hard rock', 'rock']",7098770,81
310,Aero Chord,"['bass trap', 'edm', 'gaming edm', 'traprun']",201562,59
312,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",10049089,80
313,Aesop Rock,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'hip hop']",338509,62
314,Aether,"['chillstep', 'future bass', 'vapor twitch', 'wave']",18117,62
317,Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",22404249,90
318,Afroman,"['comedy rap', 'gangster rap', 'hip hop', 'rap']",300389,65
321,After 7,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",385163,51
322,After The Burial,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'minneapolis metal', 'progressive metalcore']",215574,55
