,Artist,Genres,Followers,Popularity
204,Aaron Watson,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']",189364,59
205,Aaron Y Su Grupo Ilusion,"['cumbia sonidera', 'ranchera', 'regional mexican']",365881,64
206,Aarti Mukherji,"['classic bollywood', 'filmi']",8512,30
207,Aavepyora,['suomisaundi'],570,6
208,Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",790429,63
209,Abandon Kansas,"['christian rock', 'dreamo']",5869,19
210,Abbey Lincoln,['vocal jazz'],23306,39
211,Abby,"['contemporary country', 'country pop']",29165,57
212,Abby Anderson,"['contemporary country', 'country pop']",24925,50
213,Abdel Halim Hafez,"['arab folk', 'classic arab pop']",456131,45
214,Abdul,"['dance pop', 'europop', 'new wave pop', 'soft rock', 'urban contemporary']",0,36
215,Abel Zavala,"['latin christian', 'latin worship']",343314,57
216,Abhi The Nomad,"['desi hip hop', 'vapor soul']",88212,59
217,Abnormal Boyz,['italian techno'],138585,42
218,Above & Beyond,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",647419,68
219,Above The Law,"['g funk', 'gangster rap', 'hip hop', 'hyphy', 'west coast rap']",1177499,64
220,Abracadabra,['musica costarricense'],1912341,71
221,Abrasive Wheels,"['oi', 'street punk', 'uk82']",7925,22
222,Absofacto,"['indie psych-pop', 'shimmer psych']",102373,65
223,Abstract Rude,"['abstract hip hop', 'alternative hip hop', 'underground rap']",15947,33
224,Abstract Sunrise,['progressive psytrance'],40087,35
225,Abstract Vision,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'russian trance', 'trance', 'uplifting trance']",7972,31
226,Abuse,['indie punk'],562712,73
227,Abwärts,"['german punk', 'german rock', 'neue deutsche welle']",7122,28
228,Abys,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']",500,49
229,Academy of Ancient Music,"['baroque ensemble', 'british orchestra', 'choral', 'classical performance', 'historically informed performance']",4008949,79
230,Academy of St. Martin in the Fields,"['british orchestra', 'chamber orchestra', 'classical', 'classical performance']",4008949,79
231,Academy of St. Martin in the Fields Chorus,['choral'],4008949,79
232,Acapulco Tropical,"['cumbia sonidera', 'musica costena', 'ranchera']",198349,53
233,Accademia I Filarmonici,['italian baroque ensemble'],1749719,74
234,Accept,"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']",10080523,91
235,Acceptance,"['christian alternative rock', 'dreamo', 'emo', 'neon pop punk', 'pop punk', 'screamo']",1737,58
236,Ace,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",27192042,95
237,Ace Frehley,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",146804,50
238,Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1368399,67
239,Ace Spectrum,['classic soul'],1088,20
240,Ace Ventura,"['progressive psytrance', 'psychedelic trance']",108116,49
241,Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']",468085,67
242,Acerina Y Su Danzonera,"['mexican rock-and-roll', 'ranchera']",20524,38
243,Aceyalone,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']",18558137,87
244,Achille Togliani,"['canzone napoletana', 'classic italian pop', 'vintage italian pop']",3413,31
245,Acid Bath,"['doom metal', 'louisiana metal', 'sludge metal', 'stoner metal']",13711,54
246,Acid King,"['doom metal', 'gaian doom', 'psychedelic doom', 'retro metal', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']",19059,41
247,Acker Bilk,"['adult standards', 'ballroom', 'brill building pop', 'easy listening', 'jazz clarinet', 'lounge']",24691,51
248,Acoustic Alchemy,"['british jazz', 'smooth jazz']",42589,45
249,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']",625189,66
250,Active Sight,['uplifting trance'],1230,18
251,Ad Brown,['progressive trance house'],2231,25
252,Ada,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",6414553,81
253,Ada Falcón,"['tango', 'tango cancion', 'vintage tango']",2451,19
